"Rank","Player","Year","Pos","Team","AAV",""
"","Devon Toews","2023","D","COL","$4,100,000",""
"","Brandon Carlo","2023","D","BOS","$4,100,000",""
"","Nick Jensen","2023","D","WAS","$4,050,000",""
"","Marcus Pettersson","2023","D","PIT","$4,025,175",""
"","Brett Pesce","2023","D","CAR","$4,025,000",""
"","Noah Dobson","2023","D","NYI","$4,000,000",""
"","Nick Leddy","2023","D","STL","$4,000,000",""
"","Ilya Sorokin","2023","G","NYI","$4,000,000",""
"","Alex Iafallo","2023","C","LAK","$4,000,000",""
"","Jake McCabe","2023","D","TOR","$4,000,000",""
"","Erik Gudbranson","2023","D","CBJ","$4,000,000",""
"","Jack Roslovic","2023","C","CBJ","$4,000,000",""
"","Jake Oettinger","2023","G","DAL","$4,000,000",""
"","Jake DeBrusk","2023","LW","BOS","$4,000,000",""
"","Robby Fabbri","2023","C","DET","$4,000,000",""
"","Adam Larsson","2023","D","SEA","$4,000,000",""
"","Nino Niederreiter","2023","RW","WPG","$4,000,000",""
"","Carter Hart","2023","G","PHI","$3,979,000",""
"","Brenden Dillon","2023","D","WPG","$3,900,000",""
"","Jake Allen","2023","G","MTL","$3,850,000",""
"","Petr Mrazek","2023","G","CHI","$3,800,000",""
"","Nikita Zadorov","2023","D","CGY","$3,750,000",""
"","Boone Jenner","2023","C","CBJ","$3,750,000",""
"","Matthew Grzelcyk","2023","D","BOS","$3,687,500",""
"","Frank Vatrano","2023","LW","ANA","$3,650,000",""
"","Ryan Suter","2023","D","DAL","$3,650,000",""
"","Barclay Goodrow","2023","LW","NYR","$3,641,667",""
"","Brandon Montour","2023","D","FLA","$3,500,000",""
"","Marc-Andre Fleury","2023","G","MIN","$3,500,000",""
"","David Savard","2023","D","MTL","$3,500,000",""
"","Joel Edmundson","2023","D","MTL","$3,500,000",""
"","Joe Pavelski","2023","C","DAL","$3,500,000",""
"","Brandon Tanev","2023","C","SEA","$3,500,000",""
"","Alexander Georgiev","2023","G","COL","$3,400,000",""
"","Joel Armia","2023","RW","MTL","$3,400,000",""
"","Jake Walman","2023","D","DET","$3,400,000",""
"","Jonas Siegenthaler","2023","D","NJD","$3,400,000",""
"","Vitek Vanecek","2023","G","NJD","$3,400,000",""
