"Rank","Player","Year","Pos","Team","AAV",""
"","Minkah Fitzpatrick","2023","S","PIT","$18,403,059",""
"","Derek Stingley Jr.","2023","CB","HOU","$8,664,378",""
"","Jack Conklin","2023","RT","CLE","$15,000,000",""
"","Demario Davis","2023","ILB","NO","$9,000,000",""
"","Ahmad Gardner","2023","CB","NYJ","$8,362,700",""
"","Bradley Chubb","2023","OLB","MIA","$22,000,000",""
"","Derrick Brown","2023","DT","CAR","$5,905,351",""
"","Calais Campbell","2023","DE","ATL","$7,000,000",""
"","Carlton Davis","2023","CB","TB","$14,833,333",""
"","Donte Jackson","2023","CB","CAR","$11,726,667",""
"","Jordan Mailata","2023","LT","PHI","$16,000,000",""
"","Maliek Collins","2023","DT","HOU","$11,500,000",""
"","Justin Jones","2023","DT","CHI","$6,000,000",""
"","Jaylen Waddle","2023","WR","MIA","$6,771,498",""
"","Jakobi Meyers","2023","WR","LV","$11,000,000",""
"","Marcus Williams","2023","FS","BAL","$14,000,000",""
"","Dorance Armstrong","2023","DE","DAL","$6,000,000",""
"","Haason Reddick","2023","OLB","PHI","$15,000,000",""
"","Derek Carr","2023","QB","NO","$37,500,000",""
"","Josey Jewell","2023","ILB","DEN","$5,500,000",""
"","Kayvon Thibodeaux","2023","OLB","NYG","$7,834,760",""
"","Matt Milano","2023","OLB","BUF","$14,165,000",""
"","David Andrews","2023","C","NE","$4,750,000",""
"","Andre James","2023","C","LV","$4,325,000",""
"","Elgton Jenkins","2023","G","GB","$17,000,000",""
"","Nate Davis","2023","G","CHI","$10,000,000",""
"","Mason Cole","2023","C","PIT","$5,250,000",""
"","Tyrod Taylor","2023","QB","NYG","$5,500,000",""
"","Kendrick Bourne","2023","WR","NE","$5,000,000",""
"","Taysom Hill","2023","TE","NO","$10,000,000",""
"","Noah Fant","2023","TE","SEA","$3,147,680",""
"","Foley Fatukasi","2023","DE","JAC","$10,000,000",""
"","Harrison Phillips","2023","DT","MIN","$6,500,000",""
"","Michael Gallup","2023","WR","DAL","$11,500,000",""
"","James Hurst","2023","LT","NO","$3,000,000",""
"","C.J. Uzomah","2023","TE","NYJ","$8,000,000",""
"","Bilal Nichols","2023","DT","LV","$5,500,000",""
"","Dexter Lawrence","2023","DT","NYG","$21,875,000",""
"","Javon Hargrave","2023","DT","SF","$21,000,000",""
"","Dallas Goedert","2023","TE","PHI","$14,250,000",""
"","Isaiah Simmons","2023","ILB","ARI","$5,166,014",""
"","Penei Sewell","2023","RT","DET","$6,024,767",""
"","Kyle Juszczyk","2023","FB","SF","$5,400,000",""
"","Vita Vea","2023","DT","TB","$17,750,000",""
"","Joseph Noteboom","2023","T","LAR","$13,333,333",""
"","Tyus Bowser","2023","OLB","BAL","$5,500,000",""
"","Dawson Knox","2023","TE","BUF","$13,000,000",""
"","Charvarius Ward","2023","CB","SF","$13,500,000",""
"","DeMarcus Walker","2023","DE","CHI","$7,000,000",""
"","Will Anderson","2023","OLB","HOU","$8,803,207",""
"","Preston Smith","2023","OLB","GB","$13,000,000",""
"","Jeffery Simmons","2023","DT","TEN","$23,500,000",""
